wall_time,ros_time,x,y,z,vx,vy,vz,actual_yaw,expected_x,expected_y,expected_z,expected_vx,expected_vy,expected_vz,expected_ax,expected_ay,expected_az,expected_yaw,expected_yaw_dot,pos_cmd_age_sec,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_age_sec,position_error_to_expected_m,position_error_to_setpoint_m,velocity_error_to_expected_m,yaw_error_rad,yaw_error_to_setpoint_rad,mode,armed,active_goal_index,active_goal_x,active_goal_y,active_goal_z,active_goal_distance_m,cross_track_m,along_track_m
0.04942893981933594,30.82,55.01285171508789,16.008506774902344,10.039403915405273,-0.06007070115826995,-0.005372759120232993,-0.04107162536087469,0.4655753177616982,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,0.0017651084801711394,0.015310656158136557
0.08985686302185059,30.852,55.01148986816406,16.0073299407959,10.038713455200195,-0.0655865264083533,-0.005026796596943742,-0.03229216949789313,0.46629027554861235,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,0.0013325164110617798,0.013563535767386179
0.12322664260864258,30.888,55.009857177734375,16.00605010986328,10.038644790649414,-0.0616906260523707,-0.004101085410374534,-0.031210941273088683,0.4650984903078713,,,,,,,,,,,,,,,,,,,,,,,OFFBOARD,true,,,,,,0.0009307361859098232,0.01152829182477042
0.15441083908081055,30.92,55.00851058959961,16.00493049621582,10.038125038146973,-0.05851153849021058,-0.0030545854893081117,-0.03822204625702534,0.46590946933617833,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.024,,0.03937332170360177,,,-0.004018473350357488,OFFBOARD,true,,,,,,0.0005422524146614929,0.009820686869358691
0.19339752197265625,30.956,55.00665283203125,16.003498077392578,10.037776947021484,-0.05195894855728739,-0.0012712711783647707,-0.03761787109782094,0.46489521841935433,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.008,,0.038517456376875786,,,-0.005032724267181488,OFFBOARD,true,,,,,,0.00010634004681026872,0.007515677698979401
0.23397135734558105,30.988,55.0055046081543,16.002538681030273,10.037086486816406,-0.05202789676540127,0.00013086163508375915,-0.037746638650134036,0.46574639584027744,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.04,,0.037578625795647407,,,-0.004181546846258377,OFFBOARD,true,,,,,,0.00022911755357338752,0.0060574844161967265
0.2712283134460449,31.024,55.00425338745117,16.00155258178711,10.036829948425293,-0.04373164604939431,0.0012144066671431046,-0.03979692618590375,0.4648500750615905,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.02,,0.037107235359498156,,,-0.005077867624945331,OFFBOARD,true,,,,,,0.0005417442341309808,0.004495367415488574
0.3061344623565674,31.052,55.003421783447266,16.00078582763672,10.03608226776123,-0.03604647214110426,0.001548543468869143,-0.0533534633113484,0.4654336323082463,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.004,,0.03625267126471846,,,-0.004494310378289512,OFFBOARD,true,,,,,,0.0008488143180881962,0.003406705342119074
0.33968281745910645,31.092,55.00254440307617,16.000015258789062,10.035551071166992,-0.030815241754252636,0.0023064024943193146,-0.0478205971402017,0.4647187968555035,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.044,,0.03564201005786879,,,-0.0052091458310323255,OFFBOARD,true,,,,,,0.001138557041651314,0.002275501638668456
0.374373197555542,31.12,55.002098083496094,15.999464988708496,10.034624099731445,-0.016559104391381068,0.0020705563908673115,-0.060894468999025744,0.4651252168135013,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.02,,0.034691734947270784,,,-0.004802725873034541,OFFBOARD,true,,,,,,0.001427075008713358,0.001628388270076769
0.40633726119995117,31.152,55.00163650512695,15.998812675476074,10.033958435058594,-0.010818365281734467,0.0020092973628112274,-0.04306307178734854,0.4648717480351868,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.008,,0.034018571401285926,,,-0.005056194651348989,OFFBOARD,true,,,,,,0.0017996652278195267,0.0009214627629138338
0.44182467460632324,31.188,55.001766204833984,15.998505592346191,10.033154487609863,-0.0006517432992983541,0.0009876953593420188,-0.049397678768702755,0.46560131280031913,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.048,,0.033235113696569916,,,-0.004326629886216682,OFFBOARD,true,,,,,,0.002132191714783112,0.0008980491316004169
0.47503113746643066,31.22,55.00190353393555,15.998180389404297,10.03278923034668,0.0016481706724043726,0.0005170235570038867,-0.039518177735460416,0.46542649903002625,,,,,,,,,,,,,55.0,16.0,10.0,0.4699279426865358,0.024,,0.0328948027945357,,,-0.004501443656509563,OFFBOARD,true,,,,,,0.002484328600793502,0.0008732328252244677
