phase,kind,start_sec,end_sec,duration_sec,steady_window_sec,eval_window_sec,stationarity_window_sec,transient_start_sec,settle_search_start_sec,settled_start_sec,eval_start_sec,eval_end_sec,settled,not_settled_reason,stationarity_metrics,evaluated_component,repeat,velocity_key,velocity_speed_mps,desired,steady_actual,denominator,error_percent,sample_count,steady_sample_count,eval_sample_count
reset_between_velocity_2mps_window_05_at_B,hold,169.0,173.0,4.0,,5.0,3.0,169.0,169.0,,,,,,,,5,,,,,,,40,,
velocity_2mps_window_06_B_to_A,velocity,173.0,203.0,30.0,,5.0,3.0,173.0,182.0,182.0,185.0,190.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.03816105409903326, 'speed_std_mps': 0.03628584547276699, 'velocity_slope_mps2': 0.011899447730154741, 'speed_slope_mps2': 0.011899447730154741, 'parallel_speed_mean_mps': 1.9656470786688476, 'parallel_speed_error_mean_mps': 0.041760883430285646, 'parallel_speed_error_max_mps': 0.09739668516224209, 'cross_speed_abs_mean_mps': 0.02502223874521483, 'cross_speed_abs_max_mps': 0.04503969554312712, 'cross_track_abs_mean_m': 0.06560076438067271, 'cross_track_abs_max_m': 0.09412007019228152, 'along_track_min_m': 13.287902517107394, 'along_track_max_m': 19.103514444215264, 'along_track_progress_m': 5.81561192710787, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,6,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [0.9916184128767211, -0.1292010961402894]}","{'mean_parallel_mps': 2.0289537859992515, 'mean_cross_mps': -0.009322084095712347, 'mean_abs_cross_mps': 0.015480279102164018}",2.0,1.4476892999625735,297,30,50
reset_between_velocity_2mps_window_06_at_A,hold,203.0,207.0,4.0,,5.0,3.0,203.0,203.0,,,,,,,,6,,,,,,,40,,
velocity_2mps_window_07_A_to_B,velocity,207.0,237.0,30.0,,5.0,3.0,207.0,216.0,216.0,219.0,224.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.035290810756474694, 'speed_std_mps': 0.028413351003500304, 'velocity_slope_mps2': 0.006773390127476025, 'speed_slope_mps2': 0.006773390127476025, 'parallel_speed_mean_mps': 1.9454571879007196, 'parallel_speed_error_mean_mps': 0.054542812099280684, 'parallel_speed_error_max_mps': 0.10941766555955934, 'cross_speed_abs_mean_mps': 0.03273508587484944, 'cross_speed_abs_max_mps': 0.07039580170807744, 'cross_track_abs_mean_m': 0.5550835849940158, 'cross_track_abs_max_m': 0.5851130248893501, 'along_track_min_m': 13.224094838604175, 'along_track_max_m': 18.93364190339014, 'along_track_progress_m': 5.709547064785964, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,7,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [-0.9916184128767211, 0.1292010961402894]}","{'mean_parallel_mps': 2.0143356762511906, 'mean_cross_mps': 0.01212235221421237, 'mean_abs_cross_mps': 0.01761087105968952}",2.0,0.7167838125595294,297,30,49
reset_between_velocity_2mps_window_07_at_B,hold,237.0,241.0,4.0,,5.0,3.0,237.0,237.0,,,,,,,,7,,,,,,,40,,
velocity_2mps_window_08_B_to_A,velocity,241.0,271.0,30.0,,5.0,3.0,241.0,250.0,250.0,253.0,258.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.049754593682671835, 'speed_std_mps': 0.04428765313097991, 'velocity_slope_mps2': 0.03995277058713382, 'speed_slope_mps2': 0.03995277058713382, 'parallel_speed_mean_mps': 1.9477342251390688, 'parallel_speed_error_mean_mps': 0.05669905893959318, 'parallel_speed_error_max_mps': 0.15355628308997238, 'cross_speed_abs_mean_mps': 0.028984461371286793, 'cross_speed_abs_max_mps': 0.06070183651291075, 'cross_track_abs_mean_m': 0.8460236080227673, 'cross_track_abs_max_m': 0.8773757663022472, 'along_track_min_m': 13.222714808942571, 'along_track_max_m': 18.985726325552083, 'along_track_progress_m': 5.763011516609511, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,8,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [0.9916184128767211, -0.1292010961402894]}","{'mean_parallel_mps': 2.0222317165085473, 'mean_cross_mps': 0.011573804868838323, 'mean_abs_cross_mps': 0.020672592067515056}",2.0,1.1115858254273636,297,30,49
reset_between_velocity_2mps_window_08_at_A,hold,271.0,275.0,4.0,,5.0,3.0,271.0,271.0,,,,,,,,8,,,,,,,40,,
velocity_2mps_window_09_A_to_B,velocity,275.0,305.0,30.0,,5.0,3.0,275.0,284.0,284.0,287.0,292.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.035185479410566274, 'speed_std_mps': 0.0306399696246632, 'velocity_slope_mps2': 0.0081869783584493, 'speed_slope_mps2': 0.0081869783584493, 'parallel_speed_mean_mps': 1.980289700128523, 'parallel_speed_error_mean_mps': 0.02979199967976865, 'parallel_speed_error_max_mps': 0.0738793075555193, 'cross_speed_abs_mean_mps': 0.025672463959810512, 'cross_speed_abs_max_mps': 0.05075823884733893, 'cross_track_abs_mean_m': 0.5505623844963217, 'cross_track_abs_max_m': 0.604142363217687, 'along_track_min_m': 13.047991956457748, 'along_track_max_m': 19.001832478370353, 'along_track_progress_m': 5.953840521912605, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,9,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [-0.9916184128767211, 0.1292010961402894]}","{'mean_parallel_mps': 2.044926328960501, 'mean_cross_mps': -0.006636974991236237, 'mean_abs_cross_mps': 0.01247885352128562}",2.0,2.246316448025043,297,30,50
reset_between_velocity_2mps_window_09_at_B,hold,305.0,309.0,4.0,,5.0,3.0,305.0,305.0,,,,,,,,9,,,,,,,40,,
velocity_2mps_window_10_B_to_A,velocity,309.0,339.0,30.0,,5.0,3.0,309.0,318.0,318.0,321.0,326.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.032041239111752655, 'speed_std_mps': 0.027223052689605176, 'velocity_slope_mps2': 0.023714241678749616, 'speed_slope_mps2': 0.023714241678749616, 'parallel_speed_mean_mps': 1.9959925266016283, 'parallel_speed_error_mean_mps': 0.022572424514633847, 'parallel_speed_error_max_mps': 0.05178230058510258, 'cross_speed_abs_mean_mps': 0.037601306657002356, 'cross_speed_abs_max_mps': 0.06741130898467385, 'cross_track_abs_mean_m': 0.2878145922577271, 'cross_track_abs_max_m': 0.3662540805954215, 'along_track_min_m': 12.811316686106911, 'along_track_max_m': 18.78649968518369, 'along_track_progress_m': 5.975182999076777, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,10,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [0.9916184128767211, -0.1292010961402894]}","{'mean_parallel_mps': 2.0255247536863044, 'mean_cross_mps': -0.01604845601254848, 'mean_abs_cross_mps': 0.017442842076910107}",2.0,1.276237684315218,297,30,50
